      Step     Time          Energy         fmax
BFGS:   19 09:35:40      -40.941153        0.0040
BFGS:   20 09:35:40      -40.941166        0.0035
BFGS:   21 09:35:40      -40.941173        0.0031
BFGS:   22 09:35:40      -40.941175        0.0034
BFGS:   23 09:35:40      -40.941176        0.0037
BFGS:   24 09:35:40      -40.941178        0.0040
BFGS:   25 09:35:40      -40.941183        0.0041
BFGS:   26 09:35:40      -40.941189        0.0034
BFGS:   27 09:35:40      -40.941194        0.0022
BFGS:   28 09:35:40      -40.941196        0.0023
BFGS:   29 09:35:40      -40.941197        0.0020
BFGS:   30 09:35:40      -40.941198        0.0020
BFGS:   31 09:35:40      -40.941200        0.0022
BFGS:   32 09:35:40      -40.941202        0.0019
BFGS:   33 09:35:40      -40.941203        0.0012
BFGS:   34 09:35:40      -40.941204        0.0010
BFGS:   35 09:35:40      -40.941204        0.0010
      Step     Time          Energy         fmax
BFGS:    0 09:36:52      -20.386298        0.2395
BFGS:    1 09:36:52      -20.388559        0.2271
BFGS:    2 09:36:52      -20.408371        0.0294
BFGS:    3 09:36:52      -20.408453        0.0294
BFGS:    4 09:36:52      -20.408634        0.0332
BFGS:    5 09:36:52      -20.408987        0.0464
BFGS:    6 09:36:52      -20.409518        0.0551
BFGS:    7 09:36:52      -20.409965        0.0492
BFGS:    8 09:36:52      -20.410135        0.0356
BFGS:    9 09:36:52      -20.410181        0.0273
BFGS:   10 09:36:52      -20.410227        0.0201
BFGS:   11 09:36:52      -20.410313        0.0192
BFGS:   12 09:36:52      -20.410425        0.0154
BFGS:   13 09:36:52      -20.410503        0.0068
BFGS:   14 09:36:52      -20.410523        0.0026
BFGS:   15 09:36:52      -20.410525        0.0004
      Step     Time          Energy         fmax
BFGS:    0 09:36:53      -40.886005        0.2747
BFGS:    1 09:36:53      -40.888964        0.2672
BFGS:    2 09:36:53      -40.938349        0.0482
BFGS:    3 09:36:53      -40.938748        0.0452
BFGS:    4 09:36:53      -40.939532        0.0306
BFGS:    5 09:36:53      -40.940033        0.0203
BFGS:    6 09:36:53      -40.940278        0.0220
BFGS:    7 09:36:53      -40.940394        0.0224
BFGS:    8 09:36:53      -40.940557        0.0197
BFGS:    9 09:36:53      -40.940764        0.0136
BFGS:   10 09:36:53      -40.940923        0.0108
BFGS:   11 09:36:53      -40.940981        0.0070
BFGS:   12 09:36:53      -40.941000        0.0065
BFGS:   13 09:36:53      -40.941022        0.0068
BFGS:   14 09:36:53      -40.941059        0.0079
BFGS:   15 09:36:53      -40.941099        0.0069
BFGS:   16 09:36:53      -40.941124        0.0063
BFGS:   17 09:36:53      -40.941134        0.0063
BFGS:   18 09:36:53      -40.941141        0.0055
BFGS:   19 09:36:53      -40.941153        0.0040
BFGS:   20 09:36:53      -40.941166        0.0035
BFGS:   21 09:36:53      -40.941173        0.0031
BFGS:   22 09:36:53      -40.941175        0.0034
BFGS:   23 09:36:53      -40.941176        0.0037
BFGS:   24 09:36:53      -40.941178        0.0040
BFGS:   25 09:36:53      -40.941183        0.0041
BFGS:   26 09:36:53      -40.941189        0.0034
BFGS:   27 09:36:53      -40.941194        0.0022
BFGS:   28 09:36:53      -40.941196        0.0023
BFGS:   29 09:36:53      -40.941197        0.0020
BFGS:   30 09:36:53      -40.941198        0.0020
BFGS:   31 09:36:53      -40.941200        0.0022
BFGS:   32 09:36:53      -40.941202        0.0019
BFGS:   33 09:36:53      -40.941203        0.0012
BFGS:   34 09:36:53      -40.941204        0.0010
BFGS:   35 09:36:53      -40.941204        0.0010
      Step     Time          Energy         fmax
BFGS:    0 09:37:39      -20.386298        0.2395
BFGS:    1 09:37:39      -20.388559        0.2271
BFGS:    2 09:37:39      -20.408371        0.0294
BFGS:    3 09:37:39      -20.408453        0.0294
BFGS:    4 09:37:39      -20.408634        0.0332
BFGS:    5 09:37:39      -20.408987        0.0464
BFGS:    6 09:37:39      -20.409518        0.0551
BFGS:    7 09:37:39      -20.409965        0.0492
BFGS:    8 09:37:39      -20.410135        0.0356
BFGS:    9 09:37:39      -20.410181        0.0273
BFGS:   10 09:37:39      -20.410227        0.0201
BFGS:   11 09:37:39      -20.410313        0.0192
BFGS:   12 09:37:39      -20.410425        0.0154
BFGS:   13 09:37:39      -20.410503        0.0068
BFGS:   14 09:37:39      -20.410523        0.0026
BFGS:   15 09:37:39      -20.410525        0.0004
      Step     Time          Energy         fmax
BFGS:    0 09:37:41      -40.886005        0.2747
BFGS:    1 09:37:41      -40.888964        0.2672
BFGS:    2 09:37:41      -40.938349        0.0482
BFGS:    3 09:37:41      -40.938748        0.0452
BFGS:    4 09:37:41      -40.939532        0.0306
BFGS:    5 09:37:41      -40.940033        0.0203
BFGS:    6 09:37:41      -40.940278        0.0220
BFGS:    7 09:37:41      -40.940394        0.0224
BFGS:    8 09:37:41      -40.940557        0.0197
BFGS:    9 09:37:41      -40.940764        0.0136
BFGS:   10 09:37:41      -40.940923        0.0108
BFGS:   11 09:37:41      -40.940981        0.0070
BFGS:   12 09:37:41      -40.941000        0.0065
BFGS:   13 09:37:41      -40.941022        0.0068
BFGS:   14 09:37:41      -40.941059        0.0079
BFGS:   15 09:37:41      -40.941099        0.0069
BFGS:   16 09:37:41      -40.941124        0.0063
BFGS:   17 09:37:41      -40.941134        0.0063
BFGS:   18 09:37:41      -40.941141        0.0055
BFGS:   19 09:37:41      -40.941153        0.0040
BFGS:   20 09:37:41      -40.941166        0.0035
BFGS:   21 09:37:41      -40.941173        0.0031
BFGS:   22 09:37:41      -40.941175        0.0034
BFGS:   23 09:37:41      -40.941176        0.0037
BFGS:   24 09:37:41      -40.941178        0.0040
BFGS:   25 09:37:41      -40.941183        0.0041
BFGS:   26 09:37:41      -40.941189        0.0034
BFGS:   27 09:37:41      -40.941194        0.0022
BFGS:   28 09:37:41      -40.941196        0.0023
BFGS:   29 09:37:41      -40.941197        0.0020
BFGS:   30 09:37:41      -40.941198        0.0020
BFGS:   31 09:37:41      -40.941200        0.0022
BFGS:   32 09:37:41      -40.941202        0.0019
BFGS:   33 09:37:41      -40.941203        0.0012
BFGS:   34 09:37:41      -40.941204        0.0010
BFGS:   35 09:37:41      -40.941204        0.0010
